packsize,price,price_per_unit,product_image,product_title
,"$1.,99",$1.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,"
					Market Fare Garden Peas 1kg 
				"
1kg,"$2.,99",$2.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2853_FROZEN_FOOD_1x1_228x128__772adc84e0.jpg,"
					Market Fare Baby Peas 1kg 
				"
,"$2.,79",$2.79 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_32b4dc35ff.jpg,"
					Market Fare Peas, Carrots & Corn 1kg 
				"
,"$1.,99",$1.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_728efad4f0.jpg,"
					Market Fare Green Beans 1kg 
				"
,"$4.,49",$4.08 per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,"
					Dentitex Sensitive Plus Whitening Toothpaste  
				"
2pk,"$1.,99",$1.00 per unit,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,"
					Dentitex Interdental Pro Toothbrush 2pk 
				"
2pk,"$2.,99",$1.50 per unit,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,"
					Dentitex Orbit Toothbrush 2pk 
				"
1L,"$4.,19",42c per 100mL,https://www.aldi.com.au/fileadmin/_processed_/7/8/csm_ALN2853_HEALTH_1x1_228x128_5_90b70c5e97.jpg,"
					Dentitex Mouthwash 1L 
				"
500ml,"$3.,49",70c per ml,https://www.aldi.com.au/fileadmin/_processed_/2/1/csm_ALN3077_HEALTH_1x1_228x128_be3f781b52.jpg,"
					Dentitex Mouthwash 500ml 
				"
,"$3.,79",$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228__7337596be1.jpg,"
					LACURA, Essentials Purify Exfoliating Wash 150ml 
				"
,"$3.,79",$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/9/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_2_238ffd9714.jpg,"
					LACURA, Essentials Caring Cleansing Gel 150ml 
				"
,"$3.,79",$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_3_41952414db.jpg,"
					LACURA, Essentials Fine Balance Foaming Cleansing Gel 150ml 
				"
30pk,"$1.,69",6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALC7782_THE_BLOCK_1x1_228x128_46_14b472b3c8.jpg,"
					LACURA, Essentials Fine Balance Cleansing Wipes 30pk    
				"
,"$1.,69",6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALC7782_THE_BLOCK_1x1_228x128_47_c420f81809.jpg,"
					LACURA, Essentials Caring Cleansing Wipes 30pk       
				"
,"$2.,29",$4.58 per kg,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_6_31d847d825.jpg,"
					Market Fare Broccoli 500g 
				"
,89,$3.56 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_7_e00448fa4c.jpg,"
					Market Fare Spinach 250g 
				"
